id,file_path,split,accent,language_label,duration_s,sample_rate,channels,bytes
f7a61644a5941228d8c8742e400a40ce07b41d84,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1).wav,train,andhra_pradesh,telugu,2.72,44100,1,239948
271c535ac28318d8a0fffd732aa59718bd837d5f,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (100).wav,train,andhra_pradesh,telugu,2.54,44100,1,224072
bbacb166b77489c2ee679242b4a5100c0a30ac2e,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1001).wav,train,andhra_pradesh,telugu,2.94,48000,1,564524
1866c5efae4b0f1ad254ff1a8338fcdd987fda9d,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1002).wav,train,andhra_pradesh,telugu,4.0,48000,1,768044
de85442f1823a8c177e1d1ece856a92d0f3790d9,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1004).wav,train,andhra_pradesh,telugu,3.66,48000,1,702764
d1efc4b5f4dd29ac77be5593c686d4e089718b82,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1005).wav,train,andhra_pradesh,telugu,3.52,48000,1,675884
66de10c79714633e5afc98bae4388bd79407bb29,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1008).wav,train,andhra_pradesh,telugu,4.56,48000,1,875564
d2f8294b7e7c0bc4d87bc8f6db1d3da44ac858ac,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1011).wav,train,andhra_pradesh,telugu,3.62,48000,1,695084
08520774ec249d6d518fc8914e6072db1b1dad79,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1012).wav,train,andhra_pradesh,telugu,2.76,48000,1,529964
556f1a8738dcae152d4c9e9be686bf56b9278053,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1013).wav,train,andhra_pradesh,telugu,4.04,48000,1,775724
1e778e6056ba6c759a3526d2a73527d27391684a,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1014).wav,train,andhra_pradesh,telugu,3.04,48000,1,583724
6aa78858ee3faa220358adbeb940775db4db16a0,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1015).wav,train,andhra_pradesh,telugu,3.62,48000,1,695084
08a8a04071389f33fae3cb67e3131a00977cbd65,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1016).wav,train,andhra_pradesh,telugu,2.7,48000,1,518444
