id,file_path,split,accent,language_label,duration_s,sample_rate,channels,bytes
196375f28f88182e405f2c50f5ac38a40216f797,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\tamil\Tamil_speaker (1176).wav,train,tamil,tamil,5.2,48000,2,998444
b7c009cc62aae49833ff93234f5cb05e22fc99b9,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\kerala\Kerala_speaker_01_3_14.wav,train,kerala,malayalam,2.6666666666666665,48000,1,256078
8e01019a37deecee28c62fbca6bd80c6fa93c611,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\karnataka\Karnataka_speaker_02_1 (515).wav,train,karnataka,kannada,5.0,48000,2,960044
0c4357dd70421a76f13081dad6e470f5d8bc7866,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\tamil\Tamil_speaker (768).wav,train,tamil,tamil,1.98,44100,1,174680
3ddb8dfaa41e02311f7089f7938ec5c1e4a5c657,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\test\kerala\Kerala_speaker_05_List61_Splitted_10.wav,test,kerala,malayalam,3.1573333333333333,48000,2,606252
4d9b353077e5a7f722836646ed474a493d44f1e8,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\kerala\Kerala_speaker_01_8_22.wav,train,kerala,malayalam,3.562666666666667,48000,1,342094
c7c4095ff3e2b5496f4287a6ae6e27aa2f9109d8,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1326).wav,train,andhra_pradesh,telugu,4.8,48000,2,921644
48e9101df06c7bad6d0e1666772bf797c28b00c5,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\tamil\Tamil_speaker (1352).wav,train,tamil,tamil,4.6,48000,2,883244
8030269f35476e64d43100f31c43c45534c1e89f,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\gujrat\Gujrat_speaker_01_2_7.wav,train,gujrat,gujarati,3.3706666666666667,48000,2,647212
2e0fe3b4a68b1a1df0e99dea8af9db99bb31ef72,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\karnataka\Karnataka_speaker_02_1 (738).wav,train,karnataka,kannada,5.0,48000,2,960044
29e1fe99ad27d15aa7e6b0d963943ef1141c1072,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\tamil\Tamil_speaker (1442).wav,train,tamil,tamil,4.8,48000,2,921644
ce0935ecf7600fc929c130c7234d5512b438eb60,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (872).wav,train,andhra_pradesh,telugu,3.04,48000,1,583724
da2c1dbb516fa41072a0e3fe81815c637e8199fa,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\tamil\Tamil_speaker (1111).wav,train,tamil,tamil,4.8,48000,2,921644
488af5eb49c62f8a64b6431db8564ec664092228,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\karnataka\Karnataka_speaker_03_1 (226).wav,train,karnataka,kannada,5.0,48000,2,960044
733996b1d402884ae225f1cdb6f278bc79f34e2d,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\val\karnataka\Karnataka_speaker_02_1 (647).wav,val,karnataka,kannada,5.4,48000,2,1036844
94efcc9350ceaeff8eef4e1f520564d5d9a1897a,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\test\tamil\Tamil_speaker (891).wav,test,tamil,tamil,1.58,44100,1,139400
339baefbe1eb0a5e0fb13e6ace49118db3cef9c0,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\karnataka\Karnataka_speaker_02_1 (460).wav,train,karnataka,kannada,5.4,48000,2,1036844
d2defbc1247710869796274c425c115d4e5537e4,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\andhra_pradesh\Andhra_speaker (1567).wav,train,andhra_pradesh,telugu,5.6,48000,2,1075244
4d037e23bfd37d9e0b5cc0ba4109ad2913c2f891,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\test\gujrat\Gujrat_speaker_02_3_5.wav,test,gujrat,gujarati,4.608,48000,2,884780
e849896919c82146a2baea1b7cbb198dedbb2f79,D:\Savio Shaju\IIITH\Project\IndicAccentDB_split\train\tamil\Tamil_speaker (1331).wav,train,tamil,tamil,5.0,48000,2,960044
